iter	Passed	Remaining
178	964	4423
179	966	4403
180	974	4410
181	977	4394
182	979	4374
183	983	4360
184	988	4352
185	990	4334
186	993	4320
187	996	4304
188	999	4287
189	1004	4283
190	1008	4271
191	1010	4254
192	1013	4236
193	1018	4229
194	1020	4213
195	1024	4203
196	1026	4185
197	1034	4190
198	1039	4185
199	1042	4171
200	1045	4155
201	1051	4151
202	1054	4140
203	1057	4125
204	1059	4109
205	1065	4106
206	1069	4095
207	1071	4080
208	1074	4066
209	1080	4063
210	1084	4055
211	1086	4039
212	1089	4024
213	1091	4009
214	1096	4004
215	1100	3992
216	1102	3978
217	1104	3962
218	1109	3956
219	1112	3942
220	1115	3932
221	1117	3917
222	1120	3904
223	1125	3898
224	1128	3888
225	1131	3873
226	1133	3858
227	1134	3843
228	1137	3830
229	1141	3819
230	1143	3806
231	1145	3791
232	1147	3776
233	1149	3761
234	1151	3747
235	1155	3739
236	1157	3726
237	1159	3712
238	1161	3698
239	1163	3684
240	1165	3669
241	1169	3663
242	1171	3650
243	1174	3637
244	1175	3623
245	1177	3609
246	1179	3596
247	1181	3582
248	1185	3575
249	1187	3561
250	1189	3550
251	1192	3538
252	1194	3526
253	1196	3513
254	1199	3504
255	1201	3491
256	1203	3479
257	1205	3466
258	1207	3454
259	1209	3441
260	1211	3429
261	1215	3422
262	1217	3411
263	1219	3399
264	1221	3387
265	1223	3374
266	1224	3362
267	1226	3350
268	1230	3342
269	1232	3331
270	1234	3320
271	1236	3308
272	1238	3296
273	1239	3285
274	1243	3277
275	1245	3266
276	1247	3255
277	1248	3243
278	1250	3232
279	1252	3220
280	1254	3209
281	1258	3204
282	1261	3197
283	1265	3190
284	1269	3185
285	1274	3182
286	1277	3174
287	1280	3165
288	1282	3155
289	1284	3145
290	1286	3134
291	1290	3127
292	1291	3117
293	1293	3106
294	1295	3096
295	1297	3085
296	1299	3075
297	1301	3064
298	1305	3059
299	1307	3050
300	1309	3040
301	1311	3031
302	1313	3021
303	1315	3011
304	1316	3000
305	1319	2993
306	1321	2983
307	1323	2973
308	1325	2964
309	1327	2954
310	1329	2945
311	1331	2935
312	1334	2928
313	1336	2919
314	1338	2909
315	1340	2900
316	1341	2891
317	1343	2881
318	1345	2872
319	1347	2863
320	1350	2856
321	1352	2847
322	1353	2837
323	1355	2828
324	1358	2820
325	1359	2811
326	1361	2802
327	1365	2797
328	1367	2788
329	1369	2779
330	1371	2771
331	1373	2763
332	1375	2754
333	1376	2745
334	1380	2740
335	1382	2732
336	1384	2723
337	1386	2715
338	1388	2707
339	1390	2699
340	1393	2693
341	1397	2688
342	1399	2680
343	1402	2673
344	1404	2666
345	1406	2659
346	1413	2659
347	1417	2656
348	1419	2647
349	1421	2639
350	1424	2633
351	1427	2627
352	1430	2621
353	1433	2615
354	1435	2607
355	1437	2600
356	1442	2597
357	1444	2590
358	1447	2584
359	1449	2576
360	1451	2569
361	1453	2561
362	1458	2559
363	1460	2552
364	1463	2546
365	1465	2539
366	1468	2532
367	1474	2531
368	1478	2527
369	1480	2520
370	1482	2513
371	1488	2512
372	1492	2508
373	1494	2501
374	1497	2495
375	1502	2493
376	1505	2487
377	1508	2482
378	1511	2476
379	1513	2469
380	1520	2469
381	1524	2465
382	1526	2459
383	1528	2452
384	1533	2450
385	1537	2445
386	1539	2439
387	1542	2432
388	1545	2427
389	1549	2423
390	1553	2419
391	1555	2412
392	1557	2406
393	1559	2399
394	1565	2398
395	1568	2392
396	1571	2386
397	1573	2379
398	1577	2376
399	1580	2370
400	1583	2366
401	1586	2359
402	1588	2352
403	1590	2345
404	1593	2340
405	1595	2334
406	1597	2327
407	1600	2321
408	1602	2315
409	1605	2310
410	1608	2305
411	1610	2299
412	1613	2292
413	1614	2285
414	1619	2283
415	1621	2276
416	1623	2270
417	1625	2263
418	1627	2256
419	1629	2250
420	1640	2255
421	1643	2251
422	1649	2249
423	1653	2245
424	1655	2239
425	1657	2233
426	1659	2226
427	1661	2220
428	1665	2216
429	1667	2210
430	1670	2205
431	1672	2198
432	1674	2192
433	1675	2185
434	1679	2182
435	1681	2175
436	1683	2169
437	1685	2162
438	1687	2156
439	1689	2149
440	1690	2143
441	1694	2139
442	1696	2133
443	1698	2127
444	1701	2121
445	1703	2115
446	1705	2109
447	1708	2105
448	1711	2099
449	1713	2093
450	1715	2087
451	1717	2081
452	1719	2075
453	1721	2070
454	1724	2065
455	1726	2059
456	1728	2053
457	1730	2047
458	1732	2041
459	1734	2035
460	1735	2029
461	1739	2025
462	1741	2019
463	1743	2013
464	1744	2007
465	1746	2001
466	1748	1995
467	1750	1990
468	1752	1984
469	1755	1979
470	1757	1974
471	1760	1968
472	1761	1963
473	1763	1957
474	1765	1951
475	1767	1945
476	1769	1940
477	1771	1934
478	1774	1929
479	1776	1924
480	1777	1918
481	1779	1912
482	1783	1909
483	1785	1903
484	1788	1898
485	1790	1893
486	1792	1888
487	1794	1882
488	1798	1879
489	1801	1874
490	1803	1869
491	1805	1864
492	1807	1859
493	1809	1853
494	1814	1850
495	1816	1845
496	1817	1839
497	1819	1834
498	1821	1829
499	1823	1823
500	1825	1818
501	1829	1815
502	1832	1810
503	1835	1806
504	1837	1800
505	1839	1795
506	1840	1790
507	1845	1787
508	1847	1782
509	1850	1777
510	1852	1772
511	1854	1767
512	1859	1765
513	1861	1760
514	1863	1755
515	1866	1750
516	1868	1745
517	1870	1740
518	1875	1737
519	1877	1732
520	1880	1728
521	1882	1723
522	1885	1719
523	1890	1717
524	1893	1713
525	1896	1708
526	1898	1703
527	1901	1699
528	1910	1700
529	1912	1696
530	1915	1691
531	1918	1688
532	1924	1686
533	1927	1682
534	1930	1677
535	1935	1675
536	1941	1673
537	1943	1668
538	1945	1663
539	1951	1662
540	1961	1664
541	1970	1665
542	1985	1671
543	1989	1667
544	1992	1663
545	1995	1659
546	1998	1654
547	2000	1649
548	2002	1644
549	2004	1640
550	2006	1635
551	2011	1632
552	2014	1628
553	2022	1628
554	2033	1630
555	2036	1626
556	2042	1624
557	2045	1620
558	2048	1615
559	2051	1611
560	2053	1607
561	2083	1623
562	2086	1619
563	2095	1619
564	2099	1616
565	2101	1611
566	2108	1609
567	2112	1606
568	2115	1602
569	2120	1599
570	2125	1596
571	2132	1595
572	2145	1598
573	2149	1594
574	2193	1621
575	2197	1617
576	2203	1615
577	2206	1610
578	2208	1606
579	2211	1601
580	2215	1597
581	2253	1618
582	2256	1614
583	2259	1609
584	2261	1604
585	2264	1599
586	2268	1596
587	2271	1591
588	2273	1586
589	2276	1582
590	2279	1577
591	2324	1602
592	2335	1602
593	2350	1606
594	2353	1601
595	2356	1597
596	2365	1596
597	2369	1592
598	2372	1588
599	2375	1583
600	2385	1583
601	2434	1609
602	2437	1604
603	2440	1599
604	2448	1598
605	2452	1594
606	2455	1590
607	2463	1588
608	2477	1590
609	2480	1585
610	2483	1581
611	2513	1593
612	2516	1588
613	2524	1587
614	2528	1582
615	2530	1577
616	2537	1575
617	2541	1571
618	2547	1568
619	2557	1567
620	2594	1583
621	2605	1583
622	2608	1578
623	2610	1572
624	2616	1570
625	2620	1565
626	2622	1560
627	2650	1569
628	2657	1567
629	2663	1564
630	2667	1559
631	2669	1554
632	2672	1549
633	2674	1544
634	2680	1540
635	2703	1547
636	2705	1541
637	2707	1536
638	2713	1532
639	2715	1527
640	2717	1521
641	2719	1516
642	2720	1510
643	2722	1505
644	2727	1500
645	2729	1495
646	2731	1490
647	2733	1484
648	2735	1479
649	2736	1473
650	2741	1469
651	2743	1464
652	2746	1459
653	2748	1453
654	2750	1448
655	2751	1443
656	2755	1438
657	2757	1433
658	2759	1428
659	2761	1422
660	2763	1417
661	2765	1411
662	2767	1406
663	2771	1402
664	2773	1397
665	2775	1392
666	2777	1386
667	2779	1381
668	2781	1376
669	2786	1372
670	2789	1367
671	2792	1363
672	2794	1357
673	2796	1352
674	2799	1347
675	2802	1343
676	2804	1337
677	2806	1332
678	2808	1327
679	2810	1322
680	2811	1317
681	2815	1312
682	2817	1307
683	2819	1302
684	2821	1297
685	2823	1292
686	2824	1287
687	2826	1281
688	2828	1276
689	2830	1271
690	2832	1266
691	2834	1261
692	2836	1256
693	2837	1251
694	2839	1246
695	2841	1241
696	2844	1236
697	2847	1231
698	2849	1226
699	2851	1222
700	2853	1217
701	2857	1212
702	2859	1208
703	2861	1203
704	2863	1198
705	2865	1193
706	2866	1188
707	2868	1183
708	2873	1179
709	2874	1174
710	2876	1169
711	2878	1164
712	2880	1159
713	2882	1154
714	2884	1149
715	2887	1145
716	2889	1140
717	2891	1135
718	2892	1130
719	2894	1125
720	2896	1120
721	2898	1116
722	2901	1111
723	2903	1107
724	2905	1102
725	2907	1097
726	2909	1092
727	2911	1087
728	2913	1082
729	2915	1078
730	2917	1073
731	2918	1068
732	2920	1063
733	2922	1059
734	2924	1054
735	2926	1049
736	2928	1044
737	2932	1040
738	2934	1036
739	2936	1031
740	2938	1027
741	2940	1022
742	2942	1017
743	2944	1013
744	2947	1008
745	2948	1004
746	2950	999
747	2952	994
748	2954	990
749	2956	985
750	2958	980
751	2961	976
752	2963	972
753	2965	967
754	2967	962
755	2968	958
756	2970	953
757	2972	949
758	2976	945
759	2978	940
760	2980	935
761	2981	931
762	2983	926
763	2985	922
764	2987	917
765	2991	913
766	2993	909
767	2995	904
768	2996	900
769	2998	895
770	3000	891
771	3002	886
772	3004	882
773	3006	877
774	3008	873
775	3010	868
776	3012	864
777	3016	860
778	3022	857
779	3026	853
780	3029	849
781	3031	845
782	3033	840
783	3036	836
784	3038	832
785	3040	827
786	3042	823
787	3044	819
788	3046	814
789	3048	810
790	3051	806
791	3053	801
792	3055	797
793	3056	793
794	3058	788
795	3060	784
796	3062	780
797	3065	775
798	3067	771
799	3069	767
800	3071	762
801	3072	758
802	3074	754
803	3076	749
804	3078	745
805	3081	741
806	3083	737
807	3085	733
808	3086	728
809	3088	724
810	3090	720
811	3092	715
812	3095	712
813	3097	707
814	3099	703
815	3101	699
816	3102	695
817	3104	690
818	3106	686
819	3108	682
820	3111	678
821	3113	674
822	3115	670
823	3117	665
824	3119	661
825	3121	657
826	3123	653
827	3126	649
828	3128	645
829	3130	641
830	3132	637
831	3134	632
832	3136	628
833	3138	624
834	3142	620
835	3144	616
836	3146	612
837	3148	608
838	3150	604
839	3152	600
840	3157	596
841	3159	592
842	3162	588
843	3164	584
844	3167	580
845	3169	576
846	3173	573
847	3175	569
848	3178	565
849	3180	561
850	3182	557
851	3186	553
852	3188	549
853	3191	545
854	3194	541
855	3197	537
856	3201	534
857	3204	530
858	3206	526
859	3208	522
860	3210	518
861	3213	514
862	3221	511
863	3223	507
864	3226	503
865	3228	499
866	3234	496
867	3236	492
868	3239	488
869	3241	484
870	3243	480
871	3247	476
872	3250	472
873	3253	468
874	3255	465
875	3257	461
876	3259	457
877	3263	453
878	3266	449
879	3268	445
880	3270	441
881	3273	437
882	3274	433
883	3279	430
884	3281	426
885	3284	422
886	3286	418
887	3287	414
888	3290	410
889	3294	407
890	3296	403
891	3298	399
892	3300	395
893	3302	391
894	3306	387
895	3309	384
896	3311	380
897	3313	376
898	3315	372
899	3317	368
900	3321	364
901	3324	361
902	3326	357
903	3329	353
904	3330	349
905	3332	345
906	3336	342
907	3338	338
908	3341	334
909	3342	330
910	3344	326
911	3346	322
912	3348	319
913	3351	315
914	3353	311
915	3355	307
916	3357	303
917	3358	300
918	3361	296
919	3365	292
920	3368	288
921	3371	285
922	3373	281
923	3375	277
924	3377	273
925	3382	270
926	3385	266
927	3387	262
928	3390	259
929	3402	256
930	3406	252
931	3416	249
932	3418	245
933	3421	241
934	3423	237
935	3426	234
936	3429	230
937	3431	226
938	3433	223
939	3435	219
940	3437	215
941	3439	211
942	3443	208
943	3445	204
944	3447	200
945	3449	196
946	3451	193
947	3453	189
948	3454	185
949	3458	182
950	3461	178
951	3463	174
952	3465	170
953	3467	167
954	3469	163
955	3473	159
956	3475	156
957	3477	152
958	3479	148
959	3481	145
960	3483	141
961	3486	137
962	3488	134
963	3490	130
964	3493	126
965	3495	123
966	3497	119
967	3499	115
968	3504	112
969	3506	108
970	3509	104
971	3511	101
972	3513	97
973	3514	93
974	3517	90
975	3519	86
976	3521	82
977	3522	79
978	3524	75
979	3526	71
980	3528	68
981	3531	64
982	3534	61
983	3536	57
984	3540	53
985	3543	50
986	3546	46
987	3548	43
988	3550	39
989	3552	35
990	3553	32
991	3555	28
992	3557	25
993	3560	21
994	3562	17
995	3564	14
996	3566	10
997	3568	7
998	3569	3
999	3571	0
